Id,Pickup_datetime,Pickup_time,Pickup_time_min
0,2020-03-02 00:00:00,00:00:00,0
1,2020-03-02 00:15:00,00:15:00,15
2,2020-03-02 00:30:00,00:30:00,30
3,2020-03-02 00:45:00,00:45:00,45
4,2020-03-02 01:00:00,01:00:00,60
5,2020-03-02 01:15:00,01:15:00,75
6,2020-03-02 01:30:00,01:30:00,90
7,2020-03-02 01:45:00,01:45:00,105
8,2020-03-02 02:00:00,02:00:00,120
9,2020-03-02 02:15:00,02:15:00,135
10,2020-03-02 02:30:00,02:30:00,150
11,2020-03-02 02:45:00,02:45:00,165
12,2020-03-02 03:00:00,03:00:00,180
13,2020-03-02 03:15:00,03:15:00,195
14,2020-03-02 03:30:00,03:30:00,210
15,2020-03-02 03:45:00,03:45:00,225
16,2020-03-02 04:00:00,04:00:00,240
17,2020-03-02 04:15:00,04:15:00,255
18,2020-03-02 04:30:00,04:30:00,270
19,2020-03-02 04:45:00,04:45:00,285
20,2020-03-02 05:00:00,05:00:00,300
21,2020-03-02 05:15:00,05:15:00,315
22,2020-03-02 05:30:00,05:30:00,330
23,2020-03-02 05:45:00,05:45:00,345
24,2020-03-02 06:00:00,06:00:00,360
25,2020-03-02 06:15:00,06:15:00,375
26,2020-03-02 06:30:00,06:30:00,390
27,2020-03-02 06:45:00,06:45:00,405
28,2020-03-02 07:00:00,07:00:00,420
29,2020-03-02 07:15:00,07:15:00,435
30,2020-03-02 07:30:00,07:30:00,450
31,2020-03-02 07:45:00,07:45:00,465
32,2020-03-02 08:00:00,08:00:00,480
33,2020-03-02 08:15:00,08:15:00,495
34,2020-03-02 08:30:00,08:30:00,510
35,2020-03-02 08:45:00,08:45:00,525
36,2020-03-02 09:00:00,09:00:00,540
37,2020-03-02 09:15:00,09:15:00,555
38,2020-03-02 09:30:00,09:30:00,570
39,2020-03-02 09:45:00,09:45:00,585
40,2020-03-02 10:00:00,10:00:00,600
41,2020-03-02 10:15:00,10:15:00,615
42,2020-03-02 10:30:00,10:30:00,630
43,2020-03-02 10:45:00,10:45:00,645
44,2020-03-02 11:00:00,11:00:00,660
45,2020-03-02 11:15:00,11:15:00,675
46,2020-03-02 11:30:00,11:30:00,690
47,2020-03-02 11:45:00,11:45:00,705
48,2020-03-02 12:00:00,12:00:00,720
49,2020-03-02 12:15:00,12:15:00,735
50,2020-03-02 12:30:00,12:30:00,750
51,2020-03-02 12:45:00,12:45:00,765
52,2020-03-02 13:00:00,13:00:00,780
53,2020-03-02 13:15:00,13:15:00,795
54,2020-03-02 13:30:00,13:30:00,810
55,2020-03-02 13:45:00,13:45:00,825
56,2020-03-02 14:00:00,14:00:00,840
57,2020-03-02 14:15:00,14:15:00,855
58,2020-03-02 14:30:00,14:30:00,870
59,2020-03-02 14:45:00,14:45:00,885
60,2020-03-02 15:00:00,15:00:00,900
61,2020-03-02 15:15:00,15:15:00,915
62,2020-03-02 15:30:00,15:30:00,930
63,2020-03-02 15:45:00,15:45:00,945
64,2020-03-02 16:00:00,16:00:00,960
65,2020-03-02 16:15:00,16:15:00,975
66,2020-03-02 16:30:00,16:30:00,990
67,2020-03-02 16:45:00,16:45:00,1005
68,2020-03-02 17:00:00,17:00:00,1020
69,2020-03-02 17:15:00,17:15:00,1035
70,2020-03-02 17:30:00,17:30:00,1050
71,2020-03-02 17:45:00,17:45:00,1065
72,2020-03-02 18:00:00,18:00:00,1080
73,2020-03-02 18:15:00,18:15:00,1095
74,2020-03-02 18:30:00,18:30:00,1110
75,2020-03-02 18:45:00,18:45:00,1125
76,2020-03-02 19:00:00,19:00:00,1140
77,2020-03-02 19:15:00,19:15:00,1155
78,2020-03-02 19:30:00,19:30:00,1170
79,2020-03-02 19:45:00,19:45:00,1185
80,2020-03-02 20:00:00,20:00:00,1200
81,2020-03-02 20:15:00,20:15:00,1215
82,2020-03-02 20:30:00,20:30:00,1230
83,2020-03-02 20:45:00,20:45:00,1245
84,2020-03-02 21:00:00,21:00:00,1260
85,2020-03-02 21:15:00,21:15:00,1275
86,2020-03-02 21:30:00,21:30:00,1290
87,2020-03-02 21:45:00,21:45:00,1305
88,2020-03-02 22:00:00,22:00:00,1320
89,2020-03-02 22:15:00,22:15:00,1335
90,2020-03-02 22:30:00,22:30:00,1350
91,2020-03-02 22:45:00,22:45:00,1365
92,2020-03-02 23:00:00,23:00:00,1380
93,2020-03-02 23:15:00,23:15:00,1395
94,2020-03-02 23:30:00,23:30:00,1410
95,2020-03-02 23:45:00,23:45:00,1425
